ผลรวม ของ  Number ,ป้ายชื่อคอลัมน์,,,,,,,,,,,,,,ผลรวม ของ  Number ,ป้ายชื่อคอลัมน์,,,,,,,,,ผลรวม ของ  Number ,ป้ายชื่อคอลัมน์,,,
ป้ายชื่อแถว,2019,2023,ผลรวมทั้งหมด,,,,,,,,,,,,ป้ายชื่อแถว,2019,2023,ผลรวมทั้งหมด,,,,,,,ป้ายชื่อแถว,2019,2023,ผลรวมทั้งหมด,Recovery rate
Jan,3713172,2144948,5858120,,,,,,,,,,,,Jan,3713172,2144948,5858120,,,,,,,Puerto Rico,68,1,69,6800%
Africa,13016,8100,21116,,,,,,,,,,,,Africa,13016,8100,21116,,,,,,,Mayotte,60,1,61,6000%
America,164209,118891,283100,,,,,,,,,,,,Algeria,194,179,373,,,,,,,Puerto Rico,50,1,51,5000%
Asia and the Pacific,2607030,1281532,3888562,,,,,,,,,,,,Angola,28,5,33,,,,,,,Puerto Rico,43,1,44,4300%
Europe,889904,705869,1595773,,,,,,,,,,,,Benin,2,7,9,,,,,,,République du Congo,107,3,110,3567%
Middle East,37415,30556,67971,,,,,,,,,,,,Bophuthatswana,0,0,0,,,,,,,Turkmenistan,735,22,757,3341%
other,1598,,1598,,,,,,,,,,,,Botswana,31,27,58,,,,,,,Mayotte,33,1,34,3300%
Feb,3600922,2113550,5714472,,,,,,,,,,,,Burkina  Faso,30,6,36,,,,,,,Mayotte,32,1,33,3200%
Africa,11260,7014,18274,,,,,,,,,,,,Burundi,3,2,5,,,,,,,République du Congo,51,2,53,2550%
America,135484,117838,253322,,,,,,,,,,,,Cameroon,58,23,81,,,,,,,Turkmenistan,260,11,271,2364%
Asia and the Pacific,2596571,1277199,3873770,,,,,,,,,,,,Canary  Islands,0,0,0,,,,,,,République du Congo,23,1,24,2300%
Europe,830824,684551,1515375,,,,,,,,,,,,Cape Verde Rep.,3,4,7,,,,,,,Mayotte,22,1,23,2200%
Middle East,25156,26948,52104,,,,,,,,,,,,Central African Republic,0,1,1,,,,,,,Puerto Rico,43,2,45,2150%
other,1627,,1627,,,,,,,,,,,,Ceuta,0,0,0,,,,,,,Lesotho,64,3,67,2133%
Mar,3478687,2269733,5748420,,,,,,,,,,,,Chad,12,9,21,,,,,,,Lesotho,40,2,42,2000%
Africa,16150,8647,24797,,,,,,,,,,,,ciskei,0,,0,,,,,,,Mayotte,18,1,19,1800%
America,149683,120596,270279,,,,,,,,,,,,Comoros,46,41,87,,,,,,,Angola,17,1,18,1700%
Asia and the Pacific,2559547,1506054,4065601,,,,,,,,,,,,Côte d'Ivoire,19,18,37,,,,,,,République du Congo,62,4,66,1550%
Europe,716534,614862,1331396,,,,,,,,,,,,Djibouti,8,4,12,,,,,,,Turkmenistan,225,16,241,1406%
Middle East,35286,19574,54860,,,,,,,,,,,,Equatorial  Guinea,0,1,1,,,,,,,Solomon  Islands,14,1,15,1400%
other,1487,,1487,,,,,,,,,,,,Eritrea,21,35,56,,,,,,,Nauru,28,2,30,1400%
Apr,3216929,2182100,5399029,,,,,,,,,,,,Eswatini,6,9,15,,,,,,,République du Congo,27,2,29,1350%
Africa,15284,9441,24725,,,,,,,,,,,,Ethiopia,2007,787,2794,,,,,,,Lesotho,27,2,29,1350%
America,130818,100424,231242,,,,,,,,,,,,Gabon,2,3,5,,,,,,,République du Congo,40,3,43,1333%
Asia and the Pacific,2512114,1615515,4127629,,,,,,,,,,,,Gambia,11,8,19,,,,,,,Monaco,186,14,200,1329%
Europe,524321,430530,954851,,,,,,,,,,,,Ghana,105,37,142,,,,,,,République du Congo,53,4,57,1325%
Middle East,32975,26190,59165,,,,,,,,,,,,Guinea,76,20,96,,,,,,,Solomon  Islands,13,1,14,1300%
other,1417,,1417,,,,,,,,,,,,Guinea0Bissau,0,0,0,,,,,,,Monaco,62,5,67,1240%
May,2736598,2013852,4750450,,,,,,,,,,,,Kenya,582,198,780,,,,,,,Togo,37,3,40,1233%
Africa,12889,8778,21667,,,,,,,,,,,,Lesotho,5,1,6,,,,,,,Palau,12,1,13,1200%
America,111608,85529,197137,,,,,,,,,,,,Liberia,29,24,53,,,,,,,China,1076816,91841,1168657,1172%
Asia and the Pacific,2318956,1595745,3914701,,,,,,,,,,,,Madagascar,153,17,170,,,,,,,République du Congo,35,3,38,1167%
Europe,282815,281416,564231,,,,,,,,,,,,Malawi,23,5,28,,,,,,,Togo,23,2,25,1150%
Middle East,9710,42384,52094,,,,,,,,,,,,Mali,35,17,52,,,,,,,Monaco,68,6,74,1133%
other,620,,620,,,,,,,,,,,,Mauritania,0,2,2,,,,,,,ANDORRA,41,4,45,1025%
Jun,3056697,2241201,5297898,,,,,,,,,,,,Mauritius,743,765,1508,,,,,,,Palau,10,1,11,1000%
Africa,17273,9411,26684,,,,,,,,,,,,Mauritun,0,0,0,,,,,,,Marshall Islands,10,1,11,1000%
America,118525,94143,212668,,,,,,,,,,,,Mayotte,32,0,32,,,,,,,Marshall Islands,10,1,11,1000%
Asia and the Pacific,2575339,1805515,4380854,,,,,,,,,,,,Melilla,0,0,0,,,,,,,Madagascar,167,17,184,982%
Europe,292882,264803,557685,,,,,,,,,,,,Morocco,619,514,1133,,,,,,,Madagascar,186,19,205,979%
Middle East,52037,67329,119366,,,,,,,,,,,,Mozambique,245,91,336,,,,,,,Timor0Leste,137,14,151,979%
other,641,,641,,,,,,,,,,,,Namibia,115,20,135,,,,,,,Monaco,29,3,32,967%
Jul,3342750,2490643,5833393,,,,,,,,,,,,Niger,5,0,5,,,,,,,Botswana,37,4,41,925%
Africa,15073,10332,25405,,,,,,,,,,,,Nigeria,196,150,346,,,,,,,Madagascar,153,17,170,900%
America,113469,96758,210227,,,,,,,,,,,,République Démocratique du Congo,0,13,13,,,,,,,République du Congo,27,3,30,900%
Asia and the Pacific,2694705,1884948,4579653,,,,,,,,,,,,République du Congo,27,3,30,,,,,,,Angola,18,2,20,900%
Europe,436389,386750,823139,,,,,,,,,,,,Reunion,1165,0,1165,,,,,,,Solomon  Islands,9,1,10,900%
Middle East,82596,111855,194451,,,,,,,,,,,,Rwanda,19,11,30,,,,,,,Timor0Leste,61,7,68,871%
other,518,,518,,,,,,,,,,,,Saint  Helena,0,0,0,,,,,,,Monaco,69,8,77,863%
Aug,3472655,2468042,5940697,,,,,,,,,,,,Sao Tome/Principe,0,0,0,,,,,,,Nauru,17,2,19,850%
Africa,16269,10295,26564,,,,,,,,,,,,Senegal,80,45,125,,,,,,,Lesotho,8,1,9,800%
America,90479,74573,165052,,,,,,,,,,,,Seychelles,242,76,318,,,,,,,Mayotte,32,4,36,800%
Asia and the Pacific,2871349,1918315,4789664,,,,,,,,,,,,Sierra Leone,5,3,8,,,,,,,Palau,8,1,9,800%
Europe,422141,377847,799988,,,,,,,,,,,,Somalia,15,23,38,,,,,,,Djibouti,30,4,34,750%
Middle East,71217,87012,158229,,,,,,,,,,,,South  Africa,4934,4125,9059,,,,,,,Nicaragua,22,3,25,733%
other,1200,,1200,,,,,,,,,,,,South Sudan,0,4,4,,,,,,,Turkmenistan,249,34,283,732%
Sep,2890039,2130596,5020635,,,,,,,,,,,,Sudan,334,231,565,,,,,,,Botswana,58,8,66,725%
Africa,17982,10620,28602,,,,,,,,,,,,Tanzania,168,96,264,,,,,,,Madagascar,115,16,131,719%
America,86988,73781,160769,,,,,,,,,,,,Togo,18,6,24,,,,,,,Namibia,128,18,146,711%
Asia and the Pacific,2448582,1687354,4135936,,,,,,,,,,,,Transkei,0,0,0,,,,,,,Solomon  Islands,7,1,8,700%
Europe,302927,308405,611332,,,,,,,,,,,,Tunisia,277,214,491,,,,,,,Gabon,7,1,8,700%
Middle East,32790,50436,83226,,,,,,,,,,,,Uganda,180,142,322,,,,,,,Cape Verde Rep.,7,1,8,700%
other,770,,770,,,,,,,,,,,,Western  Sahara,0,0,0,,,,,,,Burundi,7,1,8,700%
Oct,3074099,2197017,5271116,,,,,,,,,,,,Zambia,39,19,58,,,,,,,Burundi,7,1,8,700%
Africa,16875,10593,27468,,,,,,,,,,,,Zimbabwe,69,59,128,,,,,,,Solomon  Islands,14,2,16,700%
America,117298,97572,214870,,,,,,,,,,,,America,164209,118891,283100,,,,,,,China,1079300,155656,1234956,693%
Asia and the Pacific,2435655,1613854,4049509,,,,,,,,,,,,Anguilla,0,0,0,,,,,,,Botswana,69,10,79,690%
Europe,471748,430354,902102,,,,,,,,,,,,Antigua  and  Barbuda,4,7,11,,,,,,,Seychelles,172,25,197,688%
Middle East,31575,44644,76219,,,,,,,,,,,,Argentina,4969,2889,7858,,,,,,,Turkmenistan,143,21,164,681%
other,948,,948,,,,,,,,,,,,Aruba,3,0,3,,,,,,,Malawi,27,4,31,675%
Nov,3386366,2637077,6023443,,,,,,,,,,,,Bahamas,7,3,10,,,,,,,Burundi,20,3,23,667%
Africa,15814,10149,25963,,,,,,,,,,,,Barbados,1,4,5,,,,,,,Monaco,85,13,98,654%
America,165016,147089,312105,,,,,,,,,,,,Belize,4,13,17,,,,,,,Solomon  Islands,13,2,15,650%
Asia and the Pacific,2489444,1773401,4262845,,,,,,,,,,,,Bermuda,25,0,25,,,,,,,Turkmenistan,141,22,163,641%
Europe,682804,660728,1343532,,,,,,,,,,,,Bolivia,74,68,142,,,,,,,Timor0Leste,128,20,148,640%
Middle East,32253,45710,77963,,,,,,,,,,,,Bonaire,0,0,0,,,,,,,Zambia,51,8,59,638%
other,1035,,1035,,,,,,,,,,,,Brazil,7031,5186,12217,,,,,,,Turkmenistan,241,38,279,634%
Dec,3947337,3261257,7208594,,,,,,,,,,,,British  Virgin  Islands,0,0,0,,,,,,,Namibia,112,18,130,622%
Africa,28934,18687,47621,,,,,,,,,,,,British Colony,0,0,0,,,,,,,Timor0Leste,167,27,194,619%
America,176059,160267,336326,,,,,,,,,,,,Canada,32151,23744,55895,,,,,,,Burkina  Faso,37,6,43,617%
Asia and the Pacific,2832492,2218326,5050818,,,,,,,,,,,,Cayman  Islands,6,0,6,,,,,,,ANDORRA,61,10,71,610%
Europe,872176,816116,1688292,,,,,,,,,,,,Chile,2479,1253,3732,,,,,,,Niger,6,1,7,600%
Middle East,36360,47861,84221,,,,,,,,,,,,Clipperton  Island,1,0,1,,,,,,,Kiribati,6,1,7,600%
other,1316,,1316,,,,,,,,,,,,Colombia,1028,470,1498,,,,,,,Central African Republic,6,1,7,600%
ผลรวมทั้งหมด,39916251,28150016,68066267,,,,,,,,,,,,Costa rica,293,77,370,,,,,,,Botswana,82,14,96,586%
,,,,,,,,,,,,,,,Cuba,22,15,37,,,,,,,Monaco,157,27,184,581%
,,,,,,,,,,,,,,,Curacao,0,0,0,,,,,,,Namibia,115,20,135,575%
,,,,,,,,,,,,,,,Dominica,10,28,38,,,,,,,Malawi,23,4,27,575%
,,,,,,,,,,,,,,,Ecuador,110,76,186,,,,,,,Djibouti,40,7,47,571%
,,,,,,,,,,,,,,,El Salvador,48,22,70,,,,,,,République du Congo,57,10,67,570%
,,,,,,,,,,,,,,,Falkland  Islands,0,0,0,,,,,,,Madagascar,142,25,167,568%
,,,,,,,,,,,,,,,French  Guiana,0,0,0,,,,,,,Eswatini,17,3,20,567%
,,,,,,,,,,,,,,,Greenland,45,0,45,,,,,,,Guyana,17,3,20,567%
,,,,,,,,,,,,,,,Grenada,10,10,20,,,,,,,Solomon  Islands,17,3,20,567%
,,,,,,,,,,,,,,,Guadalope,3,0,3,,,,,,,Angola,28,5,33,560%
,,,,,,,,,,,,,,,Guatamala,,43,43,,,,,,,Monaco,123,22,145,559%
,,,,,,,,,,,,,,,Guatemala,104,,104,,,,,,,Madagascar,99,18,117,550%
,,,,,,,,,,,,,,,Guyana,0,4,4,,,,,,,Zambia,98,18,116,544%
